"group.all" "pa" "lon" "lat" "layer.1" "layer.2" "layer.3" "layer.4" "layer.5" "layer.6"
"1" 2 1 -44.468333 -20.208333 -8.40377939195427 6.37055075262604 0.669545414227458 -9.87623243396928 -1.48514595613188 -6.09090962087606
"2" 1 1 -51.783333 -17.2 -9.66111648356952 7.12429487888394 0.396786184756485 -9.00975055493811 -1.4293828204043 -6.15694642271367
"3" 3 1 -45.0025 -15.352778 -8.57141723438621 8.85035007492103 0.342343531853648 -9.24469795096858 -1.37920013834444 -7.27382658825848
"4" 5 1 -50.366667 -22.583333 -8.57546123949868 6.24559698535972 2.36270270300792 -8.63921402344393 -1.61776228475344 -6.5332253972474
"5" 4 1 -28.3575 -55.0275 NA NA NA NA NA NA
"6" 3 0 -65.69917289 -35.825837543 -3.70103108512969 8.08006121023237 4.36995921435167 -8.8921326410034 -0.167563026134791 -7.94725651610697
"7" 4 0 -35.59917289 -7.425837543 -9.19476352688434 8.79333397883808 0.551763346599664 -5.72924144251151 -1.75634859099095 -6.88266089171431
"8" 3 0 -55.49917289 -22.825837543 -9.2084661469458 6.28973751707035 2.89045223568498 -8.16827573538649 -1.52942173151032 -6.45969920469634
"9" 2 0 -50.59917289 -11.525837543 -11.5802937372008 8.96021121146017 0.300399774398412 -9.45292154492997 -1.47745654915596 -6.5071636565119
"10" 2 0 -58.39917289 1.674162457 -12.3419711048374 6.63365618855172 0.049146461836734 -7.31746470072598 0.0227492128927487 -7.3242685277152
"11" 1 0 -66.59917289 -3.625837543 -14.2700586705537 4.41256586374396 1.86239293088945 -7.65858806251843 -1.90425448440985 -7.31568703301254
"12" 4 0 -58.49917289 -36.225837543 -5.6106061776924 5.80125231377016 4.46249826132242 -7.25989896108307 -0.38333499937274 -6.38969491520181
"13" 4 0 -57.79917289 -13.425837543 -10.3994008411468 7.71103376741851 0.584881505323146 -10.3436081272359 -1.26995865706165 -6.64423173033035
"14" 2 0 -51.69917289 -16.225837543 -10.3280318736142 8.51774777219236 0.445210569692891 -9.02173780562145 -1.22398342877507 -6.41519455449139
"15" 3 0 -57.99917289 -36.925837543 -5.12251644226605 5.78421465170189 4.42752505017609 -6.86637224826521 -0.299901648465981 -6.24071515436792
"16" 2 0 -49.29917289 -13.125837543 -10.6658357233721 8.85602068189662 0.148489059104238 -8.54803649385237 -0.92501417390408 -6.36748595033059
"17" 4 0 -39.49917289 -4.125837543 -9.48213989119011 9.59587901028152 -1.10782131690731 -6.31408512708464 -1.3737816121586 -6.96019641527848
"18" 3 0 -70.59917289 -14.725837543 -0.768820392622511 2.0376364299026 -0.488878089964764 -10.8608627308446 -1.21614489365092 -7.41308043070708
"19" 3 0 -57.89917289 -3.425837543 -13.2803658940538 6.37550646346724 1.08717201161317 -6.52590624188631 -1.07011012869496 -7.17982908055138
"20" 4 0 -75.39917289 3.674162457 -12.647964755634 7.0843588365235 0.633153338201877 -7.65631899958937 -0.86325666359211 -7.42867346785694
"21" 2 0 -58.29917289 -30.825837543 -7.30412125927885 6.50643311139812 4.6080328559647 -7.70882564521421 -0.485223854449718 -6.53244032615446
"22" 2 0 -74.29917289 -4.225837543 -13.8354426424247 4.98063930154113 2.39163771763009 -7.56901806529632 -2.89022928192994 -7.56513787997424
"23" 2 0 -70.59917289 8.974162457 -4.27400924726338 3.27886768002276 -1.57816253258134 -6.85787184910896 -2.14804741922455 -6.18010793122952
"24" 1 0 -73.29917289 2.574162457 -13.1604103872917 6.85604989597633 0.863785400839735 -7.65980658168541 0.243596294084333 -6.8283103307149
