"kappa";"spec_sens";"no_omission";"prevalence";"equal_sens_spec";"sensitivity";"AUC";"TSS";"algoritmo";"partition"
0.4374;0.1249;-1e-04;-1e-04;0.1249;0.1249;0.926855426855427;0.845130845130845;"BioClim";1
0.9701906;0.9701906;0.9701906;0.02098769;0.9701906;0.97488292;1;1;"maxent";1
0.0795268;0.0795268;0.0795268;0.02047861;0.0795268;0.08594852;1;1;"svm";1
0.07578515;0.07578515;0.07578515;0.02064075;0.07578515;0.08107866;1;1;"svm2";1
0.13323333;0.13323333;-1e-04;-1e-04;0.13323333;0.13323333;0.87312874251497;0.747005988023952;"BioClim";2
0.74624916;0.64491172;0.15961667;0.0229595;0.25402485;0.16026557;0.962574850299401;0.836077844311377;"maxent";2
0.11761973;0.11761973;-0.01113335;0.02338471;0.00116468;-0.01097892;0.903528528528528;0.868993993993994;"svm";2
0.09402711;0.09402711;-0.01212773;0.02368312;0.00115191;-0.01209312;0.894894894894895;0.868993993993994;"svm2";2
0.13323333;0.13323333;-1e-04;-1e-04;0.13323333;0.13323333;0.686373873873874;0.371996996996997;"BioClim";3
0.89299651;0.62929835;0.62929835;0.02174178;0.65474303;0.65474303;0.957582582582583;0.915915915915916;"maxent";3
0.07560906;0.00740668;0.00740668;0.02601322;0.00891921;0.00891921;0.99024024024024;0.933933933933934;"svm";3
0.05691803;0.00866881;0.00868576;0.02367474;0.00866881;0.00889701;0.991741741741742;0.945945945945946;"svm2";3
