"group.all" "pa" "lon" "lat" "layer.1" "layer.2" "layer.3" "layer.4" "layer.5" "layer.6"
"1" 1 1 0 0 NA NA NA NA NA NA
"2" 3 1 0 0 NA NA NA NA NA NA
"3" 2 1 0 0 NA NA NA NA NA NA
"4" 1 1 0 0 NA NA NA NA NA NA
"5" 3 1 -41.366667 -13 -7.24857418660074 6.27959189936546 0.410738840354576 -7.11234959763912 -2.12269426518512 -6.68910687625505
"6" 1 1 -41.366667 -13 -7.24857418660074 6.27959189936546 0.410738840354576 -7.11234959763912 -2.12269426518512 -6.68910687625505
"7" 2 1 -41.1166667 -11.45 -7.38893249695879 7.28232315289845 0.192935014432055 -5.90704827318846 -2.12288283916323 -6.59330181231873
"8" 2 1 -41.079722 -11.6175 -7.43768252752787 6.8285384407604 0.334696538274036 -5.94011415364385 -2.07848369927494 -6.47646315738482
"16" 2 1 -43.8177777 -21.7102777 -8.5574449488988 5.39768448143255 1.03979358197575 -9.05786930677204 -1.41242336901719 -5.14505008877502
"17" 1 1 -41.2 -11.5833333 -7.36581753888588 6.95028601502337 0.220298690549858 -6.0976191366943 -2.06262090806784 -6.47798176870645
"18" 2 1 -41.0013889 -11.6358334 -7.54331833504121 6.86046963633392 0.613994093069582 -5.90443049877669 -2.11042421933513 -6.62201802781398
"19" 1 1 -41.281667 -13.227778 -7.43341756772121 5.7797686518306 0.691948444741638 -6.99728783574354 -2.09925843811816 -6.59083032951298
"20" 3 1 -41.3 -12.683333 -9.2667222123155 8.22048425002291 0.81969831765502 -7.54964896275344 -2.28175866850712 -6.96482603418804
"21" 3 1 -40.9291667 -11.6427777 -7.6860772990236 6.80725902792946 0.894886999023287 -5.91931142003516 -2.09276854470174 -6.65911565163592
"22" 2 1 -41.0008333 -11.6233334 -7.54331833504121 6.86046963633392 0.613994093069582 -5.90443049877669 -2.11042421933513 -6.62201802781398
"23" 2 1 -41.4 -13 -7.24857418660074 6.27959189936546 0.410738840354576 -7.11234959763912 -2.12269426518512 -6.68910687625505
"24" 1 1 -41.3727778 -13.0130556 -7.24857418660074 6.27959189936546 0.410738840354576 -7.11234959763912 -2.12269426518512 -6.68910687625505
"25" 2 1 -41.336139 -13.07775 -7.29209921733964 5.91501279245588 0.56683896395896 -6.92618901569044 -2.01603642780478 -6.60412577849833
"26" 3 1 -41.306389 -12.881667 -7.96114055408764 6.99852242752196 0.479858421398732 -7.4234321419272 -2.03712902856584 -6.70497846544938
"27" 3 1 -41.195833 -11.435 -7.13941047121266 6.70295723796725 0.0240383226179867 -6.09238331762547 -2.08735844995712 -6.39489881678594
"28" 1 1 -41.012278 -11.499694 -7.54333630310833 7.00836723129346 0.653798561976926 -5.81409430696719 -2.10249292291844 -6.61887511335771
"29" 2 1 -41.366667 -13 -7.24857418660074 6.27959189936546 0.410738840354576 -7.11234959763912 -2.12269426518512 -6.68910687625505
"30" 3 1 -41.2075 -11.591667 -7.36581753888588 6.95028601502337 0.220298690549858 -6.0976191366943 -2.06262090806784 -6.47798176870645
"31" 3 1 -41.375278 -13.077222 -7.57016739770898 6.78857011516237 0.43665321021676 -7.3628627213442 -2.14163935445569 -6.77315399244218
"32" 3 1 -41.1925 -11.44 -7.13941047121266 6.70295723796725 0.0240383226179867 -6.09238331762547 -2.08735844995712 -6.39489881678594
"33" 1 1 -41.211667 -11.5975 -7.36581753888588 6.95028601502337 0.220298690549858 -6.0976191366943 -2.06262090806784 -6.47798176870645
"34" 1 1 -41.211667 -11.5975 -7.36581753888588 6.95028601502337 0.220298690549858 -6.0976191366943 -2.06262090806784 -6.47798176870645
"1100" 1 0 -49.99917289 -6.225837543 -11.7206607384395 7.81163352236899 -0.0358638344152484 -7.82908442334857 -0.462980328127302 -7.13004198984673
"2100" 2 0 -48.39917289 -20.425837543 -9.21665352414124 7.43023391485641 1.20502557150798 -9.30390046777626 -1.90084587858745 -6.36807874039421
