"group.all" "pa" "lon" "lat" "layer.1" "layer.2" "layer.3" "layer.4" "layer.5" "layer.6"
"9" 2 1 -48.9188889 -26.7861111 -9.31830709389626 4.54991620202981 3.72995725092555 -7.28147387618381 -1.04134427107345 -5.28013656564429
"10" 6 1 -48.3575 -24.3144444 -8.09787972993701 4.66246782575813 2.75815104300325 -7.92938617639864 -1.10865049301198 -5.28111409431875
"11" 1 1 -47.7666667 -24.6377778 -10.1422653288434 5.59115368271151 3.4393089647399 -8.09808909816747 -1.26271595076021 -5.16352443366629
"12" 3 1 -47.9330556 -25.0888889 NA NA NA NA NA NA
"13" 5 1 -48.5 -25.6166667 -10.6812685762624 4.08787015456149 3.50136441507216 -7.86719689911902 -1.01247266073832 -4.46408404939252
"14" 4 1 -39.35 -15.1805556 -9.48650134169566 5.33710241683151 1.77398208142005 -5.19842766148837 -1.8491033447692 -5.58550494931149
"15" 7 1 -39.35 -15.1805556 -9.48650134169566 5.33710241683151 1.77398208142005 -5.19842766148837 -1.8491033447692 -5.58550494931149
"1" 2 0 -48.19917289 -13.225837543 -10.1147921618881 9.06370757127181 0.247248430851434 -8.23913585439048 -1.08425645001319 -6.45888843601652
"2" 3 0 -54.19917289 -25.125837543 -9.20047657850166 4.88138305199202 3.98481259244112 -8.55159873727952 -1.15507433947125 -6.9875619927746
"3" 4 0 -39.59917289 -12.725837543 -8.17470688588938 7.63656732047377 0.991598130565574 -4.50059062748483 -1.89569419752855 -5.70688168995357
"4" 6 0 -51.49917289 -20.825837543 -9.07423877648041 7.59566518243604 1.78251052601844 -8.47714406193423 -1.9427257429887 -6.59748991336275
"5" 6 0 -56.79917289 -19.125837543 -10.0509519845749 8.32481277785451 1.94050652001883 -7.92923634458393 -1.93977038851263 -6.42076127886656
"6" 7 0 -58.09917289 -16.425837543 -10.1578175593462 8.74645321314314 1.84175211121004 -9.12682962545634 -2.02615596698459 -6.81014147067419
"7" 5 0 -50.99917289 -9.725837543 -11.1105536712197 8.72566041668728 0.543648928458916 -9.51704109062991 -1.8184849312648 -6.65364492518643
"8" 2 0 -48.89917289 -14.325837543 -10.4698975430976 8.16855172740541 0.0130581201214519 -8.29156164340026 -0.797987307472371 -5.80626920956721
"9100" 1 0 -63.79917289 -27.025837543 -5.87492285728312 9.6090694348343 3.45096894021757 -8.93031431164677 -0.635578926186328 -7.56536252812187
"1010" 2 0 -46.59917289 -6.725837543 -9.8950704214985 8.75353707267874 0.235366213965537 -7.92945990958314 -1.37879010140992 -6.95701077569525
"1110" 1 0 -60.09917289 -14.925837543 -8.82634925722501 7.17564625753094 0.733053563064059 -9.21137085249216 -1.39597170284064 -6.80820223986323
"1210" 6 0 -58.39917289 -14.525837543 -9.32198257324592 7.46513837027563 0.603886005794015 -9.41181236403975 -1.69259253732972 -6.70134133077633
"1310" 5 0 -44.59917289 -13.725837543 -8.29353422201829 8.77804450599346 0.0470743525865167 -8.26847055834245 -1.64998650511984 -7.13991613515472
"1410" 3 0 -51.19917289 -24.725837543 -8.78939981832296 5.00545773622835 3.45053756954592 -7.96879961976338 -1.40000021996469 -6.71300598447539
"1510" 7 0 -52.29917289 -23.325837543 -8.36671219222891 5.87649895829238 2.65389415694284 -7.80021808365243 -1.59763751519469 -6.67329126340168
"16" 3 0 -56.29917289 -17.125837543 -10.0388139787138 8.75173711793819 1.77145110676247 -8.56366845621437 -2.04544247510792 -6.57838897027924
"17" 5 0 -60.29917289 -32.425837543 -6.40680951845647 6.96399330587025 4.03629776632763 -7.73174722340426 -0.366788304709357 -6.32574004319203
"18" 2 0 -42.19917289 -16.425837543 -7.70691639899032 8.33717834817656 0.545949450072102 -8.46484233557147 -1.64997070827257 -7.14200324058516
"19" 6 0 -43.69917289 -12.525837543 -8.55625965116547 10.0155842796197 0.342643212430045 -8.30974831189236 -1.93953487432354 -7.89278928269607
"20" 4 0 -44.29917289 -7.425837543 -9.69673829867177 9.48056999176438 0.00563378842454898 -7.2838811930814 -1.39192026262382 -7.17045297738352
"21" 2 0 -50.49917289 -16.125837543 -10.3262103277593 7.932329264415 -0.0630206902671568 -8.47371211419846 -0.422371478714102 -6.0545809045385
"22" 2 0 -50.69917289 -16.225837543 -10.3801641603151 8.22486264907215 0.0768300569086331 -8.51526682361719 -0.468859594205328 -6.13742237269563
"23" 5 0 -62.29917289 -24.725837543 -6.60499812923637 9.73125827948194 3.16131385487006 -8.53703711877728 -1.03519169742806 -7.63977385763914
"24" 6 0 -53.09917289 -13.225837543 -10.0153642072623 8.52268272258723 0.829873399927213 -10.092078725586 -1.40534466794006 -6.88949888532559
"25" 3 0 -61.29917289 -34.225837543 -5.52836519028709 6.61366941818468 4.15694272019224 -8.04048470239745 -0.310864296983901 -6.48397479350864
