"group.all" "pa" "lon" "lat" "layer.1" "layer.2" "layer.3" "layer.4" "layer.5" "layer.6"
"1" 2 1 -42.999167 -22.456389 -8.27216006400888 3.35418947217759 1.36124879051362 -8.71316344707812 -1.11727756367977 -4.70839970419013
"2" 3 1 -48.869445 -25.597778 -8.66057019305537 3.20181489015077 3.14413420333923 -7.75223168204516 -0.986752457420422 -5.16857522100852
"3" 1 1 -49.500278 -26.910278 -8.07265075395306 3.33802075092881 3.35403474984976 -7.38031195122159 -1.08119901668609 -5.77362833315786
"4" 1 1 -49.501667 -27.36 -8.45392923529637 3.83454773397146 3.52951771639094 -7.27186422568689 -1.0543089056194 -5.70115564824649
"5" 3 1 -50.129445 -26.999444 -8.16627237700088 4.25139792385133 3.72871649043671 -7.43528059234507 -1.09283556307963 -6.20137560603465
"6" 3 1 -43.421389 -22.581389 -10.4263976718904 6.44415588153358 2.73085713882644 -8.16387642834436 -1.6487577832766 -5.37704792255825
"7" 3 1 -40.538333 -19.974722 -8.88775805936798 5.9162324703495 1.42775597893565 -7.27935998110878 -1.49110340860577 -5.76229095355463
"8" 1 1 -48.965833 -25.868333 -8.37835056877895 3.48925252897499 3.17418290593492 -7.51983443432814 -1.04233589220475 -5.24617840405725
"9" 1 1 -49.501667 -27.36 -8.45392923529637 3.83454773397146 3.52951771639094 -7.27186422568689 -1.0543089056194 -5.70115564824649
"10" 2 1 -45.066667 -23.3 -8.323393343145 3.79987390450048 1.80761613078708 -9.10245505069713 -1.3294235306122 -5.07584283235835
"11" 2 1 -49.05 -25.75 -8.0115351127807 3.3446165274234 2.93046918764431 -7.44165711690802 -1.11710770252962 -5.35254384981124
"12" 1 1 -49.497778 -26.909722 -8.07265075395306 3.33802075092881 3.35403474984976 -7.38031195122159 -1.08119901668609 -5.77362833315786
"13" 3 1 -49.047778 -26.1925 -8.67107258166051 3.54819176604913 3.33715792260519 -7.45751839496579 -1.06658274459601 -5.28314429530993
"14" 2 1 -50.998056 -29.786667 -8.70399397092516 4.47712951719519 4.04076321465311 -6.08698813943153 -0.628322245615852 -5.9579452286827
"15" 3 1 -43.479445 -22.5725 -9.07321026264639 5.11974643643157 1.80927062903274 -8.69954230692415 -1.42698654701937 -5.15136981164079
