"group.all" "pa" "lon" "lat" "layer.1" "layer.2" "layer.3" "layer.4" "layer.5" "layer.6"
"5" 2 1 -39.832778 -15.150278 -9.24121614369035 7.3668066095974 1.21713480126767 -5.4610233887975 -1.86901924458205 -5.89701366501293
"6" 3 1 -36.494167 -10.339722 -10.4923136072558 7.84047058043696 0.78147541128632 -6.25091391395252 -0.787790449655743 -6.34856655799778
"7" 1 1 -46.106111 -1.335556 -12.7156941093389 7.50794197658948 -0.904186690763455 -7.1677172230505 1.42674324419395 -6.5418050134231
"8" 1 1 -43.780556 -18.993056 -8.70889652989631 7.03942830804221 0.938344081766143 -9.71402281090783 -1.3248217897102 -6.05858465094826
"9" 3 1 -43.776111 -19.004167 -8.70889652989631 7.03942830804221 0.938344081766143 -9.71402281090783 -1.3248217897102 -6.05858465094826
"10" 3 1 -55.216389 -3.3625 -12.1568209411344 7.30356922046311 0.183369202562633 -6.96118552896121 -0.404877469924327 -7.26535740760488
"11" 3 1 -72.901944 -7.598056 -12.2325251344282 6.25953759345516 1.4583499363544 -8.13770081397212 -1.89860920911316 -6.23138242272013
"12" 1 1 -59 -2 -13.4354478162849 6.35119063013583 0.636708785014325 -6.83279661141771 -0.574613840316798 -7.14318073298248
"13" 1 1 -61.75 0.4775 -13.5097675500523 6.35534251627792 0.631586016129539 -7.32505565237381 -1.16517547980975 -7.68340744735875
"14" 2 1 -72.286389 -9.047778 -11.4528021024783 7.26028528302852 0.953279309681637 -8.37552353657565 -2.39200771967097 -6.27052202205058
"15" 2 1 -68.1375 -9.716389 -11.5924044051083 7.34258471569656 0.847403368168522 -8.55851542259049 -1.79737979289411 -6.47593413793676
"16" 1 1 -65.041944 -9.559444 -11.4951340148615 7.78249661811787 0.71771255073977 -8.2142978205862 -1.7980995959272 -6.23235476502908
"17" 3 1 -65.45 -9.616667 -11.0993066121506 8.30003721086866 0.481604860955874 -8.13680297892068 -1.88631186167498 -6.19122560681836
"18" 2 1 -42.089722 -19.57 -8.73868506232585 7.43619772500694 1.28867372597781 -9.01750749466329 -1.54569378707334 -6.41863818554397
"19" 3 1 -51.455278 -1.727222 -13.0534297521268 6.94215765462355 0.245358931385183 -7.10537681739027 -0.529410220234529 -7.36305583448273
"20" 1 1 -54.933611 -2.511944 -12.0566047501079 7.27477707291786 -0.121981387161854 -7.3886212390205 -0.195784783524372 -6.48763625639186
"21" 2 1 -41.72 -21.883889 -8.97275313598126 7.56681510864944 2.14234953969228 -7.07413751479405 -1.3508577346016 -5.76020738840028
"1" 2 0 -63.89917289 -34.425837543 -4.82205118921139 7.76988118740511 4.21765795875016 -8.51981114032976 -0.170024957122345 -6.99036795853593
"2" 3 0 -65.89917289 -7.325837543 -12.4449770694493 6.79496842726483 0.793072824332311 -8.38313952654583 -1.73188571284255 -6.25403144122163
"3" 2 0 -60.49917289 -22.225837543 -7.85851148665635 10.1077464363095 2.9225731804283 -7.87154448877989 -1.44519440289298 -7.56372365166848
"4" 1 0 -67.09917289 -11.225837543 -11.1589221054537 7.9230993801619 1.22083810511521 -8.3012236442229 -1.75813468717759 -6.37715715440279
"510" 1 0 -51.99917289 1.674162457 -13.1371320363436 6.09594421417446 0.593552281082567 -7.29809400330689 0.197478188448723 -6.68751583814638
"610" 1 0 -41.69917289 -3.625837543 -11.0693061111745 8.99877614158103 -0.739313415559858 -7.24942291937113 -0.150582723691873 -7.56847106135883
"710" 2 0 -69.09917289 -34.725837543 -1.97440317400216 5.34178849404266 3.19042192586782 -7.34126947840895 -0.18332004127947 -7.53379203110705
"810" 3 0 -44.19917289 -13.125837543 -8.24054077199122 8.92639873957699 0.0869216047216604 -8.28423120729522 -1.94454822813104 -7.38220671191195
"910" 1 0 -56.89917289 -15.825837543 -9.81057894613572 8.1097896793678 1.45346987245207 -8.60001048664135 -2.18461029340779 -6.52924434044857
"1010" 2 0 -57.69917289 -36.725837543 -4.92787378369301 6.00687442390482 4.44944205868266 -6.55779993132955 -0.244346282120532 -6.18606400064476
"1110" 2 0 -39.29917289 -12.825837543 -9.33186239772531 6.56421532807289 1.71608204756831 -4.5196737822836 -1.81570643411541 -5.40898510308987
"1210" 2 0 -54.69917289 4.074162457 -13.6329119805211 5.98421229609485 0.873304216291187 -7.52716750648337 -0.116083072808365 -6.624558916425
"1310" 2 0 -52.69917289 -14.425837543 -9.6690153670097 8.32726702269585 0.834267025276073 -9.84165066255911 -1.54573223727116 -6.86368707092438
"1410" 2 0 -61.19917289 3.374162457 -11.8572230282659 8.14576472645678 -0.686646319307594 -7.43075523931727 -0.461176903344307 -7.54667290589507
"1510" 3 0 -68.89917289 -3.625837543 -13.8394218613993 4.58885312227281 1.87091400677908 -7.58665923555682 -2.50043157962013 -7.23329309377232
"1610" 1 0 -55.69917289 -29.925837543 -8.2132848588681 4.77386715212728 4.89020896230593 -7.47934773150535 -0.554684278426475 -6.72683675062171
"1710" 2 0 -44.89917289 -4.225837543 -11.7316984326839 8.92836708108316 -0.648405208239429 -7.65155956695243 -0.0988089880776668 -7.06169169658262
"1810" 1 0 -72.29917289 -8.825837543 -11.481093222927 7.16145708792782 0.993951509995614 -8.36968897522448 -2.25698142373534 -6.27603315149466
"1910" 1 0 -48.69917289 -2.525837543 -13.7804723886948 6.75909598390613 -0.570977929323094 -8.19612010160642 0.790323280379651 -7.77307979690029
"2010" 1 0 -63.19917289 3.774162457 -13.3972579206159 4.94730482529267 1.2351348757242 -7.69491752993189 -1.56311282079198 -8.09518173740754
"2110" 2 0 -55.49917289 0.774162457000001 -12.3976619875905 6.76407954107053 0.309942439329603 -7.73348599776466 -0.405999794723331 -6.93914632887501
"22" 1 0 -54.19917289 -14.725837543 -9.55077610544209 6.88070696359067 0.756200512173198 -10.4495898820053 -1.21366895618519 -6.40011596773094
"23" 1 0 -67.49917289 -1.925837543 -15.111168419083 2.97913212758085 2.48569555608676 -7.2850005244212 -1.72807874878168 -8.49087613075039
"24" 1 0 -72.29917289 -13.125837543 -1.74779944586895 1.55975696911722 -1.50532877450046 -9.28856160051812 -1.27896792874506 -6.67704609291051
"25" 1 0 -42.59917289 -9.125837543 -8.66715244116502 10.5240993844014 0.147233912766755 -8.10585206671211 -2.4584495654855 -8.43688298194465
"26" 1 0 -40.69917289 -6.425837543 -8.61596284639883 9.45522616305722 -0.804489419797299 -6.53118236121748 -1.49195223803284 -7.17044748757774
"27" 2 0 -70.39917289 -2.025837543 -14.8020014194403 3.46074141590022 2.29872297288975 -7.66196548417229 -2.27427135032157 -7.81080681214177
"28" 2 0 -62.79917289 -0.525837543 -13.5421088078299 6.16421155917614 0.735842054405225 -7.1232897426886 -1.19351816626282 -7.71937197710134
"29" 2 0 -55.09917289 -9.125837543 -11.5550816588117 7.34278843397753 0.493690174858355 -10.4112571593969 1.08727027640713 -7.55633400517177
"30" 1 0 -64.39917289 -33.125837543 -5.16653016706688 7.04937264586852 3.37438904379107 -8.33007488033084 -0.376922349689625 -6.45879949261127
"31" 2 0 -48.69917289 -12.025837543 -10.2933996668598 9.31304062724257 0.439322149041862 -8.48090240665626 -1.17662972975856 -6.66629614729721
"32" 3 0 -63.39917289 -19.325837543 -7.39041353847078 8.46780233898081 1.26909312751141 -8.30026698888495 -1.58955894682877 -7.17824924437888
"33" 1 0 -59.29917289 -24.125837543 -7.73074285985614 8.94979265077595 3.4264204584824 -7.8297458832587 -1.25203354427163 -7.35037177566753
"34" 2 0 -69.59917289 -30.525837543 0.915822003549027 1.32821966324362 -0.305574647256888 -6.31653448476016 -0.602578879055607 -6.26803957223448
"35" 3 0 -52.49917289 0.674162457 -13.0300795122024 5.67319547679012 0.622474560510314 -7.09044426301737 -0.303939510062981 -6.78447911511626
"36" 3 0 -40.49917289 -12.725837543 -8.34655130031656 8.10012020936871 0.775957766748462 -5.8095846922927 -2.16240199279717 -6.47259996657519
"37" 3 0 -61.89917289 -32.625837543 -5.72463303108324 7.2536594547945 3.91188241973554 -8.18054248183855 -0.417882797244721 -6.57319333847395
"38" 1 0 -50.29917289 -5.025837543 -12.3242169495233 7.43923509405391 -0.577765087492073 -7.75664947940653 0.324521841659491 -7.31554003869862
"39" 2 0 -60.39917289 3.374162457 -12.0386594296168 8.27928357927753 -0.782638993798206 -7.37031996015459 -0.196556656604123 -7.30385978198245
"40" 3 0 -78.59917289 8.974162457 -12.6841407893829 5.74786851523091 -0.583549372401393 -7.62356521376294 0.499897622447548 -5.60382555034857
"41" 2 0 -48.99917289 -4.025837543 -13.0651757489495 7.53793496194955 -1.05472654705893 -8.06380271779419 1.16287279738406 -7.57812838581069
"42" 1 0 -41.39917289 -8.925837543 -8.18890720902915 10.2629567807498 -0.0334873036364529 -7.39502397698621 -2.33237765256252 -8.29927561084755
"43" 1 0 -71.49917289 -31.625837543 -3.95812182951194 7.34807178535888 0.326731199404282 -5.6968766031188 -0.250870418210754 -6.68875400940561
"44" 2 0 -45.89917289 -11.625837543 -9.2076175282661 8.49844810068736 -0.0946590469572853 -8.62221586358818 -1.25835412431362 -6.90414275804082
