"kappa";"spec_sens";"no_omission";"prevalence";"equal_sens_spec";"sensitivity";"AUC";"TSS";"algoritmo";"partition"
0.05787101;0.02888551;-1e-04;0.17381304;0.02888551;0.02888551;0.907527801539778;0.759965782720274;"BioClim";1
0.55581484;0.4755688;0.12699401;0.16248536;0.48617196;0.49170146;0.957399486740804;0.84704875962361;"Domain";1
0.3463189;0.18419712;0.06238678;0.17338758;0.2510888;0.3010738;0.982207014542344;0.869632164242943;"glm";1
-0.9866888;-3.99426602;-12.99796314;0.15920151;-3.64330448;-3.33420415;0.966980325064157;0.863644140290847;"Mahal";1
0.15363206;0.15363206;0.00872868;0.1725696;0.15363206;0.24513686;0.984773310521813;0.941488451668092;"maxent";1
0.30252111;0.1944632;0.03336946;0.17342659;0.1944632;0.33902696;0.990932420872541;0.941488451668092;"svm";1
0.22779132;0.22779132;0.03400964;0.16564721;0.19791076;0.34769088;0.991958939264328;0.953464499572284;"svm2";1
0.05704286;0.05704286;-1e-04;0.17132857;0.02847143;0.05704286;0.932760453579022;0.792700212615167;"BioClim";2
0.60289703;0.50594559;0.28873952;0.17092476;0.51756872;0.51756872;0.959603118355776;0.803330970942594;"Domain";2
0.35165973;0.35165973;0.03997978;0.16821492;0.33537014;0.41083368;0.971301247771836;0.892691622103387;"glm";2
-2.29905657;-3.31104235;-3.31104235;0.15093711;-2.49226548;-1.50893974;0.98458540042523;0.933734939759036;"Mahal";2
0.39774408;0.39774408;0.04101274;0.1725699;0.20923619;0.45992755;0.982813607370659;0.911055988660524;"maxent";2
0.51548784;0.51548784;-0.03283674;0.14671935;0.25037937;0.58969211;0.957575757575758;0.910873440285205;"svm";2
0.48866932;0.48866932;-0.01537456;0.16741611;0.22267485;0.5571669;0.963814616755793;0.910873440285205;"svm2";2
0.05787101;0.02888551;-1e-04;0.17381304;0.02888551;0.02888551;0.866809238665526;0.692215568862276;"BioClim";3
0.46650371;0.25106225;0.14382121;0.17322938;0.39237596;0.28142102;0.925919589392643;0.719931565440548;"Domain";3
0.5229918;0.08112847;0.00277466;0.17424043;0.08749037;0.01991776;0.899659863945578;0.638095238095238;"glm";3
-4.51104304;-4.87625011;-13.80790853;0.05077547;-4.56594455;-4.49573171;0.972284003421728;0.865012831479897;"Mahal";3
0.42961683;0.0060129;0.00298082;0.18115513;0.01724615;0.00776986;0.950556030795552;0.767835757057314;"maxent";3
0.27126911;0.18419763;-0.01043098;0.18419763;0.08078234;0.00267345;0.886054421768708;0.733333333333333;"svm";3
0.26964358;0.18627409;-0.01197175;0.18627409;0.08637916;0.00826665;0.893027210884354;0.733333333333333;"svm2";3
