"group.all" "pa" "lon" "lat" "layer.1" "layer.2" "layer.3" "layer.4" "layer.5" "layer.6"
"537" 2 1 -39.331 -15.165 -10.2250671441247 5.52859469699912 2.02105567116439 -5.12597494014669 -1.92925422724802 -5.55340529339623
"538" 3 1 -39.575 -15.382 -9.27246873896595 6.36534706751956 1.49036593902537 -5.24327019092299 -1.92977364774024 -5.97728010664219
"539" 3 1 -40.729 -20.016 -8.83300017385833 6.11831725922025 1.39369816232441 -7.52284907537465 -1.50237453092674 -5.88317982317389
"540" 3 1 -41.174 -20.303 -8.46362409002228 6.35746558700619 1.39186792526674 -8.22612754546185 -1.46589664158267 -6.09965859800055
"541" 2 1 -41.468 -20.379 -8.38955202662371 6.78620512998989 1.38239232855705 -8.59279050675396 -1.5002284636382 -6.32953216266355
"542" 2 1 -41.74 -20.493 -7.98636230488516 6.08140811245515 1.28164649543036 -9.06468992142378 -1.44436601291515 -6.20247459198184
"543" 3 1 -42.482 -20.701 -7.74613707252894 5.14932359700205 1.03312320753856 -9.25514165079746 -1.36438558760286 -5.76902186025856
"544" 3 1 -41.844 -20.441 -6.4298360658123 0.694489732987105 0.295988725220412 -8.86259030842581 -1.04377708815346 -4.73507192189522
"545" 1 1 -43.501 -20.434 -8.01517041260549 4.33960538802796 0.590535014979504 -9.58509301402008 -1.22443499806466 -5.15541765811017
"546" 1 1 -43.512 -20.18 -8.24640701113853 5.4817024256628 0.815897182043663 -9.52952938831265 -1.20428819204136 -5.35755819235098
"547" 1 1 -43.458 -20.079 -7.79709856464609 3.82839203358297 0.367827078129521 -9.64737445891052 -1.22230603605155 -5.05503682516397
"548" 1 1 -41.798 -13.32 -7.77186008350741 7.00855551178935 0.464289065982684 -7.86051726539748 -2.10592193763117 -6.7920452593782
"549" 3 1 -43.614 -18.265 -8.4976583917326 5.68288464735555 0.582192964128209 -9.22722657265938 -0.884762580730474 -5.05583080725026
"550" 1 1 -41.963 -13.511 -7.28683911694041 6.29795796741636 0.231003916975918 -7.664165405241 -2.08393910505487 -6.5855910543696
"551" 2 1 -50.038 -27.092 -8.53586679504911 4.78525822295278 3.80280751857262 -7.34933495245178 -1.13483134109139 -6.18423286211502
"552" 2 1 -49.77 -27.27 -8.61362379719089 4.68410547970025 3.77209596859239 -7.28190176217435 -1.09751019257971 -6.00402182143921
"553" 1 1 -42.531 -22.305 -7.90888391891088 3.96530944456184 1.27004340706701 -8.39078299812658 -1.17761689104845 -4.8947221087401
"554" 2 1 -43.413 -22.551 -8.98851352658364 4.22787953303733 1.78753408260681 -8.65836540537176 -1.26753712394133 -4.8387901990422
"555" 3 1 -45.753 -23.624 -9.35353635678591 2.20894569496232 2.60363954845257 -8.75399582794137 -1.11103642133974 -5.10396332490162
"556" 2 1 -46.325 -23.769 -10.0161250184042 1.94742795781959 2.85819443534763 -8.96026856688746 -1.10738351501446 -5.15103824344367
"557" 2 1 -48.935 -24.69 -8.17774790779192 4.7564209853387 3.23531154654552 -7.58267978718325 -1.14830619325484 -5.63648472844912
"558" 3 1 -48.901 -25.333 -8.77258586212703 3.40996997973867 3.13328487106543 -7.78863170412984 -1.04147848396322 -5.23959108726372
"559" 2 1 -49.141 -26.187 -8.41003954017371 3.61135407010724 3.36788974452255 -7.43927134082957 -1.05314334512166 -5.39606154580062
"560" 3 1 -49.947 -26.549 -7.99265904589363 4.53782095589335 3.55273498977868 -7.54488325583169 -1.16558066365926 -6.25325199653715
"561" 1 1 -50.04 -26.73 -8.10085465368166 4.3666455494313 3.6523791849336 -7.52013417051288 -1.15380567207031 -6.24424374025915
"562" 1 1 -50.13 -27 -8.16627237700088 4.25139792385133 3.72871649043671 -7.43528059234507 -1.09283556307963 -6.20137560603465
"563" 1 1 -49.23 -27.09 -8.5118922778148 3.40993387360136 3.44433966278881 -7.27075592167059 -1.00894094157451 -5.46052402688913
"564" 2 1 -49.68 -27.18 -8.75714259818146 4.74835399628314 3.76557719261157 -7.27879657982607 -1.11547279704615 -5.95585107523104
"565" 3 1 -50.13 -27.18 -8.36253909217304 4.54016527045526 3.80491467908814 -7.32810420113732 -1.0759094987175 -6.13843113488919
"566" 1 1 -49.41 -27.27 -8.30255209113568 3.3770688572533 3.41392263539532 -7.28059837069798 -1.02902198179026 -5.61216164056259
"567" 1 1 -49.771 -27.45 -8.50356420290151 4.56850171479265 3.76702256863597 -7.26221720310383 -1.04534915160923 -5.9268384224827
"568" 3 1 -49.05 -27.54 -8.89308962101156 3.89593729106738 3.5479452105253 -7.17291431066523 -0.929954826224227 -5.16724049214966
"569" 3 1 -49.23 -27.9 -8.56558793330213 3.7494586958504 3.40567089302716 -7.15584157229435 -0.907087054158631 -5.31501332812407
"570" 3 1 -48.87 -28.08 -8.94129084799414 4.18748520089731 3.61200466111814 -6.64541696814768 -0.841362902984721 -4.76203749968986
"571" 2 1 -49.522 -28.462 -8.39289861916026 4.00491110839691 3.5227294600111 -7.2766868733115 -1.10039021150189 -5.79197334326558
"572" 2 1 -44.54 -22.217 -7.54939777982836 2.9082987968695 0.830539790652052 -10.4624185600979 -1.3105793112835 -5.14990410849276
"573" 3 1 -44.623 -22.428 -7.55736929136867 3.93516881004755 1.12969222794694 -10.1740623289265 -1.31849079243648 -5.3575273355456
"574" 1 1 -42.95 -22.454 -8.27216006400888 3.35418947217759 1.36124879051362 -8.71316344707812 -1.11727756367977 -4.70839970419013
"575" 1 1 -44.393 -22.825 -7.6284016839557 4.04435953433073 1.37521348360173 -9.5181115251416 -1.28280118690225 -5.24341208490655
"576" 2 1 -49.41 -26.55 -7.98771441093877 3.44946786188813 3.30356045561869 -7.44782016657532 -1.1063802798846 -5.74768222548767
"577" 1 1 -49.538 -26.896 -8.07265075395306 3.33802075092881 3.35403474984976 -7.38031195122159 -1.08119901668609 -5.77362833315786
"578" 2 1 -49.15 -27.628 -8.18891807403453 2.81286261013846 3.28071683518893 -7.1862909794218 -0.91578549275203 -5.32268707129865
"579" 3 1 -43.89 -21.969 -8.41153169597549 5.51058365339914 1.19841013979505 -9.14639320117126 -1.44223391286084 -5.21749704134393
"580" 1 1 -48.97 -25.523 -8.51413255055184 3.20844428382111 2.99765712893934 -7.71339846218964 -1.10157919032589 -5.29298315973045
"581" 2 1 -48.859 -25.609 -8.66057019305537 3.20181489015077 3.14413420333923 -7.75223168204516 -0.986752457420422 -5.16857522100852
"582" 2 1 -48.691 -25.627 -9.55376560952846 3.58207496894704 3.47054724683732 -8.05358759849412 -0.80594443508781 -4.84063105417918
"583" 1 1 -49.05 -26.1 -8.23541341551574 3.34507023586923 3.23723882014014 -7.41477378694076 -1.0648642572264 -5.41275582625111
"584" 3 1 -50.223 -26.817 -7.91366989003588 3.99132133719544 3.67850448274499 -7.56155659736106 -1.10592897460361 -6.31668682226901
"585" 2 1 -49.771 -27.54 -7.97295179322154 3.50505644761008 3.46537409424556 -7.20160529696601 -1.01742842109223 -5.83925403208177
"586" 2 1 -48.819 -27.822 -8.26816182411281 2.24242829425933 3.11768364883702 -6.96489843809933 -0.838866149780371 -4.95946592733794
"587" 2 1 -49.496 -28.172 -7.38963367301937 0.885161976028544 2.77876456786461 -6.96338395565109 -0.961737227335599 -5.56813051029149
"588" 2 1 -42.882 -21.964 -8.68460767874113 6.14103184332182 1.65840541055756 -9.33980191001752 -1.28823814055146 -5.51943749782383
"589" 3 1 -45.944 -22.723 -7.56507477663129 2.56130880969181 1.22888148001161 -9.72250115447012 -1.0844498092045 -4.84545396095485
"590" 2 1 -46.031 -22.88 -8.25688286018594 4.59383795204183 1.63149936082789 -9.03953539012454 -1.39778282644327 -5.32515262907377
"591" 1 1 -49.588 -28.432 -7.66505677474248 1.52510911242902 2.96014902375995 -6.83863119630804 -0.987313177663568 -5.55553700435295
"592" 3 1 -44.651 -22.407 -7.5989563602777 4.02533512710253 1.18367574944325 -10.2065288985429 -1.28891178023351 -5.36886349977299
"593" 3 1 -44.876 -22.428 -7.47435133074157 1.46925876067812 0.698861190338451 -11.125681640406 -1.26381088888384 -5.0148165430576
"594" 1 1 -43.913 -21.741 -8.42846677642063 5.31599514951504 1.00812937640891 -9.19102962293071 -1.4452330618342 -5.19440261957271
"595" 1 1 -44.603 -22.336 -7.64043588405975 4.22876479974432 1.18740040448603 -10.149669954021 -1.32169473142088 -5.41595809571907
"596" 3 1 -46.104 -22.785 -7.81073215204903 3.34488123475272 1.35869394097919 -9.4683055143297 -1.24910505491678 -5.05617471651074
"597" 2 1 -44.772 -22.127 -7.76391337061995 4.72069731977452 1.12248697831747 -10.2931153582701 -1.38875727544311 -5.72135925555256
"598" 3 1 -45.622 -22.766 -7.47185794142001 2.33691901879562 1.09782840286373 -9.72691037227169 -1.08556927832657 -4.77930167243402
