"cv1" "cv2" "cv3" "cv4" "pa" "lon" "lat" "wc2.0_bio_10m_01" "wc2.0_bio_10m_04" "wc2.0_bio_10m_05" "wc2.0_bio_10m_09" "wc2.0_bio_10m_13" "wc2.0_bio_10m_14" "wc2.0_bio_10m_19"
"1" 2 3 1 1 1 -43.4183334 -22.5747223 20.6390730142593 224.895367340786 29.5942497253418 17.898916721344 264 50 169
"2" 3 1 1 1 1 -48.8697223 -27.99 16.5452915032705 299.012439394117 25.7779998779297 13.4862084388733 215 93 320
"3" 1 2 2 3 1 -43.2486111 -22.9688889 22.8468283414841 208.661170152281 30.5919399261475 20.6467663447062 183 42 145
"4" 2 2 1 3 1 -44.6794445 -23.0677778 18.1138237714767 240.523107731965 27.6232051849365 15.0816299120585 276 49 166
"7" 3 1 2 3 1 -43.8916667 -21.7 18.2549167076747 212.204339697165 26.9095001220703 15.5244580904643 283 19 63
"8" 2 3 3 2 1 -42.5494444 -22.5222223 21.4789896408717 226.986982361933 30.2532501220703 18.691291809082 179 24 95
"9" 2 1 3 3 1 -40.525 -20.2677778 20.2738852500916 201.95813180513 28.7824993133545 17.7077918052673 199 53 162
"10" 3 3 3 1 1 -40.5166667 -19.95 19.6885832150777 198.71825799419 28.324499130249 17.1347915331523 202 50 167
"11" 1 1 3 1 1 -39.9325 -19.1352777 23.7011668682098 190.344188663569 31.0419998168945 21.8647502263387 178 43 162
"13" 1 2 2 2 1 -43.0002778 -22.7716667 23.2006204922994 216.073247765545 31.3978729248047 20.9181734720866 192 35 130
"14" 3 3 1 1 1 -42.0333333 -20.7666667 19.7168646256129 233.749530495031 29.4362506866455 16.5940833091736 229 20 68
"16" 3 2 2 2 1 -42.25 -22.5 22.9304165442785 222.494579820247 31.6639995574951 20.2018332481384 172 29 102
"19" 1 1 2 2 1 -42.05 -22 19.2836460272471 238.416612735846 28.1892490386963 16.2005418141683 228 28 92
"20" 2 2 3 2 1 -42.5 -22.55 22.6617187261581 224.37537142215 31.5580005645752 19.9048336346944 169 26 97
"23" 1 3 1 3 1 -44.5666667 -22.25 15.6181041200956 239.404208246186 25.8430004119873 12.4882499376933 316 25 90
"1100" 1 1 1 1 0 -43.9166666666667 -20.75 19.2480208873749 205.987125762617 28.1650009155273 16.4825002352397 285 14 51
"2100" 2 1 1 1 0 -41.25 -19.9166666666667 20.4165206750234 205.908361829353 29.7942504882812 17.6929580370585 208 32 113
"3100" 3 1 3 3 0 -49.25 -28.9166666666667 19.5912568569183 329.11437224161 29.0262298583984 16.2904369036357 150 81 276
"4100" 1 1 1 3 0 -39.25 -16.4166666666667 23.9686456521352 154.868287913773 29.7117500305176 25.7347501118978 150 87 362
"5" 2 3 3 3 0 -44.25 -22.9166666666667 20.2209186951319 225.79050339855 29.4820518493652 17.4367521603902 256 40 137
"6" 2 1 1 1 0 -41.25 -18.0833333333333 22.5560314655304 187.084591518607 30.8507499694824 20.0019585291545 183 23 86
"7100" 3 2 3 1 0 -45.5833333333333 -20.9166666666667 19.9957500696182 237.703785920813 29.722749710083 16.7202084859212 282 21 68
"8100" 2 3 3 1 0 -41.4166666666667 -16.9166666666667 21.2496771812439 179.487016299132 29.4537506103516 18.6536251703898 170 14 45
"9100" 2 3 3 2 0 -44.25 -22.75 18.2975312074025 237.050571743082 27.6814994812012 15.2667498588562 258 28 102
"1010" 1 1 3 2 0 -49.5833333333333 -28.9166666666667 19.3219478130341 336.657675044208 28.972749710083 15.8117915789286 149 82 281
"1110" 3 2 2 1 0 -39.75 -18.0833333333333 24.1259271303813 173.203890857043 30.9037494659424 21.8827921549479 177 78 249
"12" 1 1 3 1 0 -40.4166666666667 -20.0833333333333 23.1831771930059 200.929119881336 31.2000007629395 20.6521248817444 197 53 161
"1310" 3 1 3 3 0 -45.9166666666667 -19.75 20.4376665751139 228.43091618412 30.27174949646 17.1714166005452 285 13 47
"1410" 2 1 1 2 0 -44.0833333333333 -22.9166666666667 20.1967792908351 221.806042274249 29.3485641479492 17.4909003575643 242 37 127
"15" 2 3 2 2 0 -42.5833333333333 -17.9166666666667 20.3982708851496 200.865183881119 29.1665000915527 17.373416741689 250 10 36
"1610" 1 3 2 2 0 -39.75 -17.9166666666667 24.16237505277 171.970497227211 30.9422492980957 21.9148333867391 164 73 242
"17" 2 2 3 3 0 -44.4166666666667 -21.5833333333333 19.2423645655314 227.910601146397 28.9015007019043 16.2242499987284 300 18 60
"18" 1 2 1 2 0 -47.0833333333333 -23.25 18.6014583905538 230.394065519862 26.8387508392334 15.6314999262492 230 33 114
"1910" 1 2 2 3 0 -48.5833333333333 -25.25 20.7031561930974 300.364517295303 28.9357490539551 17.1894165674845 277 70 252
"2010" 1 3 1 3 0 -50.0833333333333 -28.25 14.8690520326296 301.6605608251 23.6639995574951 12.9484998385111 156 102 367
"21" 3 3 3 2 0 -48.75 -26.9166666666667 20.0408228238424 324.044084589023 29.3797492980957 16.0625834465027 213 85 280
"22" 2 3 3 1 0 -50.9166666666667 -28.25 16.0345833897591 319.801336632785 25.2037506103516 13.9304999510447 171 110 404
"2310" 1 2 1 2 0 -41.75 -17.9166666666667 21.2538333336512 189.789317406335 29.8680000305176 18.5492499669393 202 18 64
"24" 1 1 1 1 0 -42.75 -18.0833333333333 19.9622915188471 209.051533408917 28.6420001983643 16.8350828488668 266 11 38
"25" 3 2 2 3 0 -42.25 -20.5833333333333 18.6426979502042 236.111714017097 28.9325008392334 15.4667502244314 236 18 71
"26" 1 3 1 1 0 -46.75 -22.4166666666667 19.894208351771 232.951961113154 28.8202495574951 16.7722916603088 250 23 91
"27" 3 1 1 3 0 -45.4166666666667 -21.75 19.6255834897359 261.932520481921 30.5222511291504 16.1082503000895 288 19 81
"28" 2 1 1 3 0 -44.9166666666667 -19.4166666666667 21.7475832700729 207.547051019039 31.9177494049072 18.868291536967 267 9 53
"29" 1 1 2 3 0 -43.25 -21.75 19.5776875813802 215.249042249172 28.5419998168945 16.8698333104451 269 18 60
"30" 2 1 3 1 0 -44.9166666666667 -21.75 19.3326040506363 231.398786284682 29.3032493591309 16.2705833117167 304 18 82
"31" 1 3 3 3 0 -45.0833333333333 -20.4166666666667 20.0342291196187 220.603768049939 29.7779998779297 16.9594583511353 293 16 52
"32" 3 3 1 3 0 -41.0833333333333 -16.9166666666667 22.0061251322428 182.345779627085 30.0307502746582 19.4051251411438 161 20 67
"33" 3 3 3 1 0 -40.9166666666667 -18.75 23.2340625127157 186.647068270498 31.58424949646 20.7477919260661 186 26 105
"34" 3 1 2 2 0 -46.5833333333333 -22.9166666666667 18.3467291990916 237.788790322737 27.4532508850098 15.2335416475932 234 29 116
"35" 3 2 2 1 0 -45.75 -20.75 20.105625073115 234.323946799967 29.4064998626709 16.8422501881917 283 19 63
"36" 3 1 2 3 0 -44.9166666666667 -20.25 20.6474480628967 219.137901654134 30.5305004119873 17.5970416069031 297 14 46
"37" 1 1 2 2 0 -39.9166666666667 -17.25 24.128521045049 167.296040783533 31.0555000305176 21.84375 143 53 175
"38" 1 1 3 1 0 -46.25 -21.9166666666667 18.8954479297002 214.754494296786 28.6572494506836 16.1156249046326 293 28 117
"39" 1 1 3 2 0 -40.9166666666667 -17.25 23.6597186326981 185.812370400391 31.8972492218018 21.0594579378764 170 25 86
"40" 2 1 1 1 0 -50.4166666666667 -30.4166666666667 19.2172708511353 345.144032437048 27.6527500152588 20.372541586558 148 89 408
"41" 2 3 2 1 0 -51.75 -27.75 17.5874686638514 344.507218827757 27.5302505493164 17.6329164505005 198 113 388
"42" 2 3 1 1 0 -47.25 -23.9166666666667 17.7722497383753 247.72339150216 25.5599994659424 14.6593329111735 267 64 200
"43" 2 2 3 2 0 -50.4166666666667 -28.25 15.6803126335144 307.368266246595 24.6814994812012 13.7061665852865 151 102 364
"44" 3 2 3 1 0 -41.9166666666667 -21.4166666666667 21.977083325386 239.489631898988 31.4745006561279 18.7893748283386 217 19 79
"45" 2 3 1 2 0 -45.75 -21.5833333333333 19.9114895661672 250.892785138133 30.4029998779297 16.5359584490458 282 25 104
"46" 2 1 2 2 0 -42.25 -21.25 21.6794686317444 240.625015911756 31.4787502288818 18.4709580739339 251 20 70
"47" 3 2 1 3 0 -41.75 -16.9166666666667 21.3030311266581 174.884508631216 29.7115001678467 18.7474581400553 178 9 29
