"kappa";"spec_sens";"no_omission";"prevalence";"equal_sens_spec";"sensitivity";"AUC";"TSS";"algoritmo";"run";"partition"
0.3999;0.3999;-1e-04;-1e-04;0.0999;0.0999;0.506306306306306;0.133933933933934;"bioclim";1;1
0.67733874;0.66500916;0.62564607;0.35407169;0.66536226;0.62756439;0.667267267267267;0.463663663663664;"maxent";1;1
0.02693333;0.02693333;-1e-04;0.01446667;0.0049;3e-04;0.575375375375375;0.288888888888889;"rf";1;1
0.1999;0.1999;-1e-04;-1e-04;0.1999;0.0999;0.756287425149701;0.536526946107784;"bioclim";1;2
0.63220067;0.63220067;0.63220067;0.3024451;0.6606458;0.63284387;0.479041916167665;0.353293413173653;"maxent";1;2
0.02526667;0.01813333;0.01813333;0.01446667;0.0188;0.0188;0.880239520958084;0.802395209580838;"rf";1;2
0.1999;0.1999;-1e-04;-1e-04;0.0999;0.0999;0.534834834834835;0.0888888888888888;"bioclim";1;3
0.80594559;0.59438963;0.25813483;0.01454718;0.60426147;0.27478038;0.627027027027027;0.373573573573573;"maxent";1;3
0.2788;0.0219;-1e-04;0.01506667;0.0059;3e-04;0.66006006006006;0.365765765765766;"rf";1;3
0.3999;0.3999;-1e-04;-1e-04;0.0999;0.0999;0.54954954954955;0.178978978978979;"bioclim";2;1
0.74895473;0.65351756;0.26799591;0.01123482;0.65620966;0.27354641;0.66966966966967;0.391591591591592;"maxent";2;1
0.04423333;0.04423333;-1e-04;0.0148;0.00206667;3e-04;0.595795795795796;0.306906906906907;"rf";2;1
0.1999;0.1999;-1e-04;-1e-04;0.0999;0.0999;0.554191616766467;0.15748502994012;"bioclim";2;2
0.71402879;0.4986185;0.4986185;0.23489177;0.55774369;0.49914031;0.437125748502994;0.233532934131736;"maxent";2;2
0.1127;0.0209;-1e-04;0.0143;0.0049;3e-04;0.508982035928144;0.220359281437126;"rf";2;2
0.1999;0.1999;-1e-04;-1e-04;0.1999;0.0999;0.784084084084084;0.595795795795796;"bioclim";2;3
0.67631723;0.67631723;0.47902666;0.1932023;0.61697056;0.47954126;0.593393393393393;0.314714714714715;"maxent";2;3
0.22693333;0.0305;0.0059;0.0149;0.02426667;0.00606667;0.853453453453453;0.646846846846847;"rf";2;3
0.1999;0.1999;-1e-04;-1e-04;0.0999;0.0999;0.538138138138138;0.0918918918918918;"bioclim";3;1
0.13424711;0.13424711;0.13424711;0.01960724;0.28861676;0.13588396;0.362762762762763;0.168168168168168;"maxent";3;1
0.0467;0.01996667;-1e-04;0.0148;0.01996667;3e-04;0.733333333333333;0.592792792792793;"rf";3;1
0.3999;0.1999;-1e-04;-1e-04;0.0999;0.0999;0.684431137724551;0.381437125748503;"bioclim";3;2
0.65776278;0.64117982;0.64117982;0.4281757;0.66054078;0.64200212;0.594011976047904;0.413173652694611;"maxent";3;2
0.04713333;0.0209;-1e-04;0.01463333;0.0019;3e-04;0.474850299401198;0.229341317365269;"rf";3;2
-1e-04;-1e-04;-1e-04;-1e-04;0.0999;0.0999;0.487387387387387;0;"bioclim";3;3
0.63781806;0.63781806;0.63781806;0.25762873;0.65061392;0.63843574;0.441441441441441;0.357357357357357;"maxent";3;3
0.09676667;0.03043333;0.00496667;0.0145;0.02213333;0.00523333;0.84024024024024;0.643843843843844;"rf";3;3
0.1999;0.1999;-1e-04;-1e-04;0.0999;0.0999;0.527327327327327;0.0648648648648649;"bioclim";4;1
0.68562289;0.64646925;0.19981188;0.01422415;0.64956989;0.20526751;0.601801801801802;0.385585585585586;"maxent";4;1
0.2614;0.0059;-1e-04;0.0149;0.0062;3e-04;0.728528528528529;0.436636636636637;"rf";4;1
0.5999;0.5999;-1e-04;-1e-04;0.0999;0.0999;0.601197604790419;0.182035928143712;"bioclim";4;2
0.47773434;0.47773434;0.47773434;0.18672851;0.55266757;0.47841562;0.38622754491018;0.224550898203593;"maxent";4;2
0.06523333;0.06523333;-1e-04;0.0142;0.0023;3e-04;0.447904191616766;0.12814371257485;"rf";4;2
0.3999;0.1999;-1e-04;-1e-04;0.0999;0.0999;0.624324324324324;0.24984984984985;"bioclim";4;3
0.70078464;0.70078464;0.28716962;0.10622407;0.45735325;0.28912614;0.453453453453453;0.162762762762763;"maxent";4;3
0.07793333;0.04696667;-1e-04;0.0148;0.006;3e-04;0.607507507507507;0.333933933933934;"rf";4;3
