"kappa";"spec_sens";"no_omission";"prevalence";"equal_sens_spec";"sensitivity";"AUC";"TSS";"algoritmo";"partition"
0.44434444;0.22212222;-1e-04;-1e-04;0.11101111;0.11101111;0.807506053268765;0.553874092009685;"BioClim";1
0.01371781;0.00705744;0.00706091;0.01044996;0.00949003;0.00709054;0.765748031496063;0.587926509186352;"glm";1
0.60824724;0.60824724;0.60831101;0.5527338;0.64578839;0.60848583;0.334140435835351;0.104116222760291;"maxent";1
0.09346667;0.03583333;-1e-04;0.0104;3e-04;1e-04;0.571850393700787;0.463254593175853;"rf";1
0.01015926;0.01015926;0.00017731;0.01040161;0.00317324;0.00026055;0.67257217847769;0.481627296587926;"svm";1
0.2499;0.2499;-1e-04;-1e-04;0.1249;0.1249;0.558495145631068;0.129611650485437;"BioClim";2
0.01767189;0.01255169;0.0083769;0.01037388;0.01255169;0.00843445;0.79748427672956;0.535849056603773;"glm";2
0.73428102;0.61590173;0.61590173;0.54087819;0.64442964;0.61627408;0.370873786407767;0.145631067961165;"maxent";2
0.1513;0.1513;-1e-04;0.01036667;0.00280476;0.00023844;0.679664570230608;0.381132075471698;"rf";2
0.01424581;0.00834;0.00465166;0.01037127;0.00695708;0.00468613;0.680503144654088;0.423899371069183;"svm";2
0.66656667;0.22212222;0.22212222;-1e-04;0.22212222;0.33323333;0.950968523002421;0.709443099273608;"BioClim";3
0.02325203;0.01058747;0.01060272;0.01038632;0.01201686;0.01064626;0.843421052631579;0.676315789473684;"glm";3
0.62536629;0.62536629;0.62536629;0.56706323;0.64650197;0.6261514;0.349273607748184;0.198547215496368;"maxent";3
0.1524;0.00673333;-1e-04;0.01037205;0.00673333;3e-04;0.678947368421053;0.486842105263158;"rf";3
0.01074524;0.01074524;0.00587224;0.01042888;0.00828108;0.00588185;0.734210526315789;0.489473684210526;"svm";3
