"kappa";"spec_sens";"no_omission";"prevalence";"equal_sens_spec";"sensitivity";"AUC";"TSS";"algoritmo";"partition"
-1e-04;-1e-04;-1e-04;-1e-04;0.2499;0.2499;0.48125;0;"BioClim";1
0.00555157;0.00555157;0.00555157;0.00251425;0.00555157;0.00570906;0.91125;0.91;"glm";1
0.74199815;0.74199815;0.74199815;0.53549911;0.74199815;0.74221327;0.9125;0.9125;"maxent";1
0.0119;0.0119;0.0119;0.0019;0.0119;0.01806667;0.9575;0.9575;"rf";1
0.00211571;0.00211571;0.00211588;0.00249177;0.00212559;0.00212559;0.2275;0.225;"svm";1
0.4999;0.4999;0.5;-1e-04;0.4999;0.5001;0.97625;0.9525;"BioClim";2
0.0029975;0.0029975;0.00309519;0.0024708;0.0029975;0.0032999;0.85875;0.85;"glm";2
0.67278136;0.67278136;0.6728036;0.53303065;0.67278136;0.67292161;0.725;0.7225;"maxent";2
-1e-04;-1e-04;-1e-04;0.0029;0.00041803;0.00041803;0.69;0;"rf";2
0.00487507;0.00487507;0.00492015;0.00247248;0.00487507;0.0059797;0.995;0.99;"svm";2
-1e-04;-1e-04;-1e-04;-1e-04;0.4999;0.4999;0.495;0;"BioClim";3
0.00086256;0.00086256;0.00086405;0.00249898;0.00087616;0.00087616;0.1875;0.1875;"glm";3
0.58065762;0.58065762;0.58065762;0.48439585;0.5819784;0.5819784;0.22;0.22;"maxent";3
-1e-04;-1e-04;-1e-04;0.00291032;3e-04;3e-04;0.7775;0;"rf";3
0.00324768;0.00324768;0.00324871;0.00248489;0.00324768;0.00327261;0.5925;0.585;"svm";3
-1e-04;-1e-04;-1e-04;-1e-04;0.4999;0.4999;0.48875;0;"BioClim";4
0.00141524;0.00141524;0.00141524;0.0024738;0.00141524;0.00146628;0.62375;0.595;"glm";4
0.55234929;0.55234929;0.55234929;0.4856288;0.55275662;0.55275662;0.3075;0.3075;"maxent";4
-1e-04;-1e-04;-1e-04;0.0023;3e-04;3e-04;0.15;0;"rf";4
0.00165162;0.00165162;0.00165162;0.0023863;0.00165162;0.00167952;0.8125;0.8125;"svm";4
0.4999;0.4999;0.5;-1e-04;0.4999;0.5001;0.97875;0.9575;"BioClim";5
0.00338725;0.00338725;0.00338725;0.00252236;0.00338725;0.00348802;0.8775;0.875;"glm";5
0.67204221;0.67204221;0.67212738;0.53862126;0.67204221;0.67266567;0.705;0.7025;"maxent";5
-1e-04;-1e-04;-1e-04;0.0027;0.00042589;0.00042589;0.5625;0;"rf";5
0.00467759;0.00467759;0.00468375;0.00249058;0.00467759;0.00471083;0.96;0.9575;"svm";5
