"kappa";"spec_sens";"no_omission";"prevalence";"equal_sens_spec";"sensitivity";"AUC";"TSS";"algoritmo";"partition"
0.3999;0.13323333;-1e-04;-1e-04;0.13323333;0.06656667;0.787001287001287;0.586872586872587;"BioClim";1
0.0214208;0.0214208;0.0215208;0.0215208;0.0214208;0.0216208;0.5;0;"glm";1
0.96601089;0.82447632;0.82447632;0.02089381;0.87271579;0.8252231;0.889317889317889;0.75975975975976;"maxent";1
0.15960764;0.00683333;0.00049429;0.02126667;0.0101;0.00054855;0.634321653189578;0.325696316262354;"rf";1
0.01583358;0.01422303;0.00938299;0.0239079;0.01324416;0.00941356;0.786163522012579;0.57277628032345;"svm";1
0.28561429;0.28561429;-1e-04;-1e-04;0.14275714;0.14275714;0.772080838323353;0.606287425149701;"BioClim";2
0.02140538;0.02140538;0.02140538;0.02160538;0.02140538;0.02150538;0.5;0;"glm";2
0.84102304;0.82525553;0.45775218;0.0239367;0.73430987;0.4637918;0.580838323353293;0.249251497005988;"maxent";2
0.02913333;0.00456667;0.0046;0.02176667;0.01243333;0.005;0.705061983471074;0.50137741046832;"rf";2
0.01592161;0.0137503;0.01023355;0.0179227;0.01362834;0.01031895;0.779614325068871;0.518595041322314;"svm";2
0.13323333;0.13323333;-1e-04;-1e-04;0.06656667;0.06656667;0.595238095238095;0.233376233376233;"BioClim";3
0.08055913;0.00868649;0.00874869;0.02138802;0.01491285;0.00895229;0.510076130765786;0.22257053291536;"glm";3
0.30666734;0.30666734;0.30666734;0.02069264;0.37330084;0.30857061;0.682539682539683;0.600600600600601;"maxent";3
0.16053333;0.01478415;-4.76e-06;0.02148571;0.01478415;3.793e-05;0.704209583519928;0.388266905508285;"rf";3
0.01460214;0.01320086;0.00775299;0.0197966;0.01180024;0.00781208;0.628750559785043;0.348858038513211;"svm";3
