"group.all" "pa" "lon" "lat" "X1Km_.eigenvariables.1" "X1Km_.eigenvariables.2" "X1Km_.eigenvariables.3" "X1Km_.eigenvariables.4" "X1Km_.eigenvariables.5" "X1Km_.eigenvariables.6" "X1Km_.eigenvariables.7" "X1Km_.eigenvariables.8" "X1Km_.eigenvariables.9" "X1Km_.eigenvariables.10"
"1" 1 1 -42.25 -22.5 17.8159478109463 -11.3706193271178 -9.83588840163731 7.90902100048641 -5.77241089243747 1.74058346050764 -0.969524032640941 7.84712948851434 2.10205699080412 1.48412717663927
"4" 3 1 -42.05 -22 15.0173472279567 -8.96383229657098 -12.8152536033148 5.98521464915216 -4.27756448662008 1.16715558884446 -0.393311088066511 7.35781372913792 3.00795921302794 2.24742548691042
"5" 2 1 -42.5 -22.55 17.9642654552444 -11.3983321329793 -10.4258011253414 8.11261001796678 -4.19736459141993 3.69803390317018 -2.05582038929792 8.03950778625908 3.69147165129664 1.44076484028115
"8" 1 1 -44.5666667 -22.25 10.7797783255153 -6.62706451151204 -16.0925234989184 1.88614172821614 -2.78870902245837 0.479361531316608 0.361536312203732 8.57629682085663 1.62070466906912 2.65459660299199
"9" 3 1 -43.0002778 -22.7716667 18.1941537870027 -10.8751365938092 -10.3673115956771 8.6230797317838 -6.29496620921162 1.7718022557548 -1.31554359995755 7.77887574015402 3.46338322492761 1.00709011894796
"10" 1 1 -39.9325 -19.1352777 19.1916076487459 -11.665521564188 -10.1011303604189 8.38656475398693 -5.25659145857186 1.51776733544127 -0.471538372486802 8.04122829035236 2.07373469230664 2.11030132738554
"11" 3 1 -42.0333333 -20.7666667 15.0582544462175 -11.2428050658146 -13.8283183341535 6.6516258107389 -4.87346877821839 1.25471375730489 -0.295125381056811 8.19712174816593 2.15043256311204 3.47087338145583
"14" 2 1 -49.082191 -26.844198 16.6960265143954 -7.83086121975137 -11.2041548863964 9.08617185061644 -6.55442136618639 1.41721614266272 -1.16492443506405 7.09060203019013 2.8983757362715 1.7584714709394
"15" 2 1 -50.148611 -29.650278 13.7425212309852 -4.52333590223969 -9.44968503241817 4.88637433870493 -7.49943502222604 3.11034691074116 -3.69352950513587 8.44833600335902 0.757758417717358 1.71302766311211
"16" 2 1 -49.865 -29.376944 14.6895641595521 -5.37327264807273 -9.19345409579158 7.69362032440964 -5.40330753442076 1.70644819669213 -1.24190319290177 6.37926842264731 1.79687891019185 2.4280233993507
"17" 1 1 -48.485 -27.616667 16.4608368112845 -7.2265844851547 -9.76955246273086 7.40300228664646 -6.07850597290008 2.43185996974535 -2.01232688748964 7.34681809049319 1.02300276540415 0.0629077481723388
"18" 2 1 -48.109611 -24.55275 17.1526898126463 -9.79792380323235 -12.0573901041117 7.11179154933719 -8.49777538163023 2.9072208442123 -3.26096496506329 9.3303240665317 2.38280390450561 -0.0152396337979579
"19" 3 1 -48.184059 -24.567167 18.0329043486056 -9.89963211167841 -11.9983173813797 9.73904284441694 -4.71447774366429 3.00343517430089 -1.53902591960853 7.79178102268924 2.2422860686428 1.31186857326426
"20" 1 1 -54.413194 -25.603389 16.1718195922792 -8.73107590610959 -13.7320977760222 9.59513269548989 -6.76539912297584 2.88514912332741 -1.81923235655551 8.55170558814513 1.31747866544354 4.17176813014531
"21" 3 1 -53.87175 -25.215667 14.8700637765266 -7.17388313206429 -14.0271029770019 7.66776981899189 -6.28288267355616 1.90035671863652 -1.07321768439908 8.77984618643341 2.67808624333277 4.45928071385745
"22" 3 1 -49.076667 -26.118333 10.7248899512941 -4.31462245414655 -12.7898231090097 2.57548354703681 -5.50255784863958 1.57637380515684 -1.72434887244033 9.31226239242839 1.78254151208251 2.14682854806149
"23" 1 1 -36.730597 -9.412631 17.8522749364253 -14.2342783479257 -9.57772800917781 6.62808121001081 -5.54329637990901 1.25200339909022 -0.674912661013834 7.75746884334448 2.79945504681081 4.08353363133471
"25" 2 1 -53.955556 -25.306944 15.5649191950881 -7.63894042513939 -13.8907861548989 8.75104785646158 -6.62728618842575 2.19830495897652 -1.42805648818718 8.81761387933262 2.14370941503402 3.90400346766567
"26" 3 1 -48.385083 -25.177722 18.2845165875367 -7.58181639831164 -12.7017622162238 7.32051343180191 -7.4415052316182 2.5146642171591 -2.46550886239998 8.14895972848813 2.38795344276103 -0.0940619599398578
"28" 1 1 -40.5166667 -19.95 16.1434021052339 -10.2108720599984 -11.6216070307141 5.71598750288853 -2.93468263353429 3.27021889009979 -1.42198691075019 8.48127278063766 3.53769330057658 2.84021591208312
"29" 2 1 -40.525 -20.2677778 16.4534229757264 -10.1725724330918 -11.1740555112258 6.39244847430501 -4.59324286066903 0.660985464755005 0.157165239921339 7.73063962823492 2.75448963356165 2.82174207687463
"30" 3 1 -43.8916667 -21.7 10.8473718110563 -6.43043127940662 -15.2041303789542 -0.0458656329267338 -4.19666698122915 0.762899556737365 -0.616292141166219 9.16830845758407 2.28991928958757 1.89227051852546
"34" 2 1 -43.2486111 -22.9688889 16.6963201155804 -8.83322390937395 -11.3768215315085 5.44518702890895 -7.19869236793148 2.72542278983967 -2.61938567296356 9.5949651977885 1.33301393879795 0.445429532034903
"35" 1 1 -48.8697223 -27.99 13.8911723707021 -5.40546099480255 -11.158192545138 6.08778713020457 -5.29894699612213 1.10530132043531 -0.911506418722869 6.92386805941522 2.69256242426262 1.5731769305805
"36" 2 1 -43.4183334 -22.5747223 18.0588855939772 -8.92425393435934 -13.5883171345318 5.15073633483293 -8.5037657362968 3.37783093955367 -3.93331985581891 10.8889259921508 0.968575523424349 -0.909831655329561
"37" 3 1 -48.739722 -25.261389 18.0975672802293 -7.73394431927896 -12.6600992634782 8.94034778109652 -6.45451260175564 2.08050245150546 -1.53347809232217 7.25430906822623 1.8991760956548 0.507223491759482
"38" 3 1 -49.86 -29.07 14.9898570126231 -6.59892987390082 -10.0677813425078 8.10434765673072 -5.95219421079946 1.6724074512348 -1.27938223391449 7.1709493886148 2.29009518224477 2.22452200482442
