"kappa";"spec_sens";"no_omission";"prevalence";"equal_sens_spec";"sensitivity";"AUC";"TSS";"algoritmo";"partition"
0.44434444;0.44434444;-1e-04;-1e-04;0.22212222;0.22212222;0.68993993993994;0.448948948948949;"BioClim";1
0.02566784;0.01140467;0.01147867;0.01283032;0.0170126;0.01164018;0.821428571428571;0.63961038961039;"glm";1
0.61169721;0.61169721;0.61169721;0.33959733;0.69519897;0.62049695;0.590840840840841;0.507507507507508;"maxent";1
0.06790238;0.0491;0.0491;0.0128;0.0491;0.05076667;0.948863636363636;0.918831168831169;"rf";1
0.00943581;0.00851055;0.00854582;0.0122277;0.00943581;0.00858064;0.750811688311688;0.581168831168831;"svm";1
0.7499;0.2499;-1e-04;-1e-04;0.2499;0.2499;0.762574850299401;0.519161676646707;"BioClim";2
0.02789094;0.01765916;0.00629112;0.01278893;0.01631298;0.0063294;0.791145833333333;0.617708333333333;"glm";2
0.65646132;0.35139211;0.35139211;0.20546198;0.65646132;0.35383769;0.49940119760479;0.24251497005988;"maxent";2
0.02066667;0.02066667;-1e-04;0.01313333;0.0176;0.00023333;0.76640625;0.6203125;"rf";2
0.01031564;0.00726233;0.00289127;0.01253875;0.00726233;0.00292859;0.771875;0.503125;"svm";2
-1e-04;-1e-04;-1e-04;-1e-04;0.11101111;0.11101111;0.444444444444444;0;"BioClim";3
0.01420905;0.00582588;0.00582588;0.01273035;0.01329373;0.00590351;0.722402597402597;0.522727272727273;"glm";3
0.65709861;0.65709861;0.65716733;0.49766086;0.66013123;0.66013123;0.812312312312312;0.780780780780781;"maxent";3
0.0455;0.0455;-1e-04;0.01313333;9e-04;3e-04;0.739448051948052;0.441558441558441;"rf";3
0.01109353;0.01109353;0.00845457;0.01264575;0.00860801;0.00847377;0.915584415584416;0.720779220779221;"svm";3
