"group.all" "pa" "lon" "lat" "wc2.0_bio_10m_04" "wc2.0_bio_10m_05" "wc2.0_bio_10m_13" "wc2.0_bio_10m_14"
"1" 2 1 -49.1947222 -27.0927777 316.048123739337 26.7152500152588 195 96
"2" 1 1 -49.0108333 -25.3886111 274.469642280386 26.5662498474121 225 84
"3" 2 1 -43.4794445 -22.5725 224.895367340786 29.5942497253418 264 50
"4" 3 1 -50.9980555 -29.7866666 342.918717482232 28.119499206543 148 101
"5" 1 1 -48.9658333 -25.8683334 284.575062228894 25.7817497253418 235 87
"6" 1 1 -40.5383333 -19.9747223 198.71825799419 28.324499130249 202 50
"8" 3 1 -50.1294445 -26.9994444 329.84290883905 26.3542499542236 168 95
"9" 3 1 -49.5016667 -27.36 327.936818601181 27.1457500457764 185 102
"11" 2 1 -49.0477777 -26.1925 298.975770231652 25.8092498779297 211 84
"12" 3 1 -49.4977777 -26.9097222 319.554274158392 27.1577491760254 188 98
"13" 2 1 -49.5002778 -26.9102778 319.106249191286 26.1927509307861 179 94
"14" 1 1 -48.8694445 -25.5977777 276.839049501783 26.3657493591309 243 88
"15" 2 1 -42.9991666 -22.4563889 230.480802557151 27.2337493896484 276 37
"1100" 1 0 -50.25 -22.5833333333333 272.776035439131 30.6827507019043 200 39
"2100" 2 0 -48.5833333333333 -28.25 308.15702385369 28.9166679382324 171 90
"3100" 2 0 -42.25 -20.0833333333333 226.048096790686 29.9039993286133 236 16
"4100" 3 0 -42.5833333333333 -19.25 202.455484728581 30.9482498168945 266 14
"5100" 3 0 -53.75 -30.9166666666667 417.203317687974 29.1212501525879 147 107
"6100" 3 0 -45.5833333333333 -23.0833333333333 244.386531694172 28.5594997406006 218 23
"7" 2 0 -39.0833333333333 -16.4166666666667 155.173474436224 29.8707065582275 179 88
"8100" 1 0 -44.75 -19.0833333333333 202.928671251218 31.6382503509521 272 9
"9100" 1 0 -51.5833333333333 -28.9166666666667 341.543133064762 26.2172508239746 177 117
"10" 1 0 -53.25 -28.0833333333333 370.655378752712 29.3882503509521 185 128
"1110" 1 0 -47.0833333333333 -22.9166666666667 230.561099227801 28.89674949646 230 28
"1210" 3 0 -44.5833333333333 -22.25 239.404208246186 25.8430004119873 316 25
"1310" 2 0 -50.75 -21.9166666666667 267.624869783154 31.1527500152588 200 29
"1410" 1 0 -49.25 -21.5833333333333 241.473601986618 31.5244998931885 229 20
"1510" 3 0 -39.0833333333333 -17.75 162.64546986272 30.3933334350586 181 68
"16" 2 0 -45.5833333333333 -21.4166666666667 252.682438935833 30.2954998016357 270 23
"17" 2 0 -50.25 -26.25 326.702930085538 26.7119998931885 168 80
"18" 1 0 -45.75 -22.9166666666667 257.294410584956 27.257999420166 286 33
"19" 3 0 -48.9166666666667 -26.75 312.962594749983 28.183500289917 220 87
"20" 2 0 -40.25 -18.9166666666667 189.19133013952 31.2127494812012 178 37
"21" 1 0 -44.75 -20.0833333333333 209.589978753464 30.621000289917 310 13
"22" 1 0 -52.5833333333333 -23.9166666666667 279.175492139627 28.6447505950928 166 72
"23" 2 0 -50.0833333333333 -27.5833333333333 324.237045055577 25.144250869751 162 98
"24" 3 0 -40.0833333333333 -18.9166666666667 188.922020091559 31.2089996337891 176 40
"25" 1 0 -40.9166666666667 -19.4166666666667 192.886254170143 30.7075004577637 195 32
"26" 1 0 -42.75 -17.25 177.525509391785 30.5319995880127 222 5
"27" 1 0 -46.75 -20.5833333333333 221.796154530834 29.6879997253418 287 13
"28" 2 0 -44.75 -23.0833333333333 240.523107731965 27.6232051849365 276 49
"29" 3 0 -47.4166666666667 -22.4166666666667 246.111808611319 29.0237503051758 242 21
"30" 2 0 -43.4166666666667 -19.75 216.503413325226 30.3439998626709 318 13
"31" 1 0 -41.9166666666667 -18.4166666666667 192.217673892434 32.3552513122559 210 16
"32" 1 0 -48.25 -23.9166666666667 281.710432592336 28.5424995422363 194 44
"33" 1 0 -46.5833333333333 -23.5833333333333 238.662329133921 27.6049995422363 246 42
"34" 2 0 -54.4166666666667 -27.4166666666667 393.425286242135 31.2017498016357 176 123
"35" 3 0 -47.5833333333333 -21.9166666666667 225.700837957283 29.9724998474121 254 21
"36" 3 0 -49.5833333333333 -23.75 274.701329906444 30.1407508850098 173 43
"37" 1 0 -47.75 -24.25 281.541503024972 30.6367492675781 239 58
"38" 1 0 -51.0833333333333 -24.4166666666667 300.298720861512 28.8495006561279 175 77
"39" 1 0 -49.4166666666667 -23.5833333333333 267.762474008207 30.0329990386963 179 43
"40" 3 0 -53.9166666666667 -29.5833333333333 392.315765573014 29.1527500152588 156 131
"41" 1 0 -45.4166666666667 -20.4166666666667 225.069223284879 29.6464996337891 288 18
"42" 1 0 -50.9166666666667 -30.4166666666667 354.100241261558 27.9893341064453 141 89
"43" 3 0 -45.4166666666667 -19.25 204.474528718979 31.6180000305176 270 10
"44" 1 0 -47.0833333333333 -22.5833333333333 244.075465211412 29.2427501678467 234 23
"45" 3 0 -49.0833333333333 -27.9166666666667 300.462156270816 25.7994995117188 208 91
"46" 1 0 -42.9166666666667 -20.4166666666667 231.383149309663 30.8542499542236 257 16
"47" 1 0 -42.0833333333333 -18.0833333333333 197.047218308588 31.7544994354248 215 11
"48" 2 0 -42.9166666666667 -17.75 191.471670252928 29.0307502746582 249 7
"49" 1 0 -42.75 -20.0833333333333 220.910226649558 31.9009990692139 255 13
"50" 1 0 -54.0833333333333 -30.9166666666667 415.781269157721 28.7992496490479 149 111
"51" 2 0 -45.5833333333333 -22.25 261.82426983433 29.6709995269775 277 24
"52" 1 0 -41.9166666666667 -19.0833333333333 185.915093783025 32.3257484436035 214 20
"53" 2 0 -46.25 -19.9166666666667 214.930091722844 28.2877502441406 306 15
"54" 1 0 -49.25 -22.4166666666667 231.876703860385 30.5452499389648 199 28
"55" 1 0 -53.9166666666667 -32.5833333333333 444.592339709796 28.5912494659424 129 88
"56" 2 0 -54.0833333333333 -26.5833333333333 364.330049653385 28.9942493438721 186 121
"57" 3 0 -49.0833333333333 -26.0833333333333 298.292637767774 25.2162494659424 205 84
"58" 2 0 -51.75 -27.9166666666667 345.42420448376 27.5774993896484 197 116
"59" 1 0 -50.4166666666667 -29.4166666666667 314.717159042156 23.8227500915527 200 135
"60" 1 0 -50.9166666666667 -27.75 327.998542015707 25.4745006561279 171 111
"61" 3 0 -41.0833333333333 -18.4166666666667 185.665810811508 30.1595001220703 188 26
"62" 2 0 -54.25 -28.4166666666667 390.375183906009 30.6312503814697 186 136
"63" 2 0 -45.9166666666667 -20.0833333333333 249.157526129307 31.5755004882812 283 14
"64" 2 0 -48.5833333333333 -27.4166666666667 314.532036147378 28.6880741119385 188 99
"65" 2 0 -54.25 -26.5833333333333 371.725808070012 29.3132495880127 179 106
"66" 3 0 -50.4166666666667 -27.5833333333333 327.727872073863 25.1145000457764 154 103
"67" 3 0 -50.75 -28.25 317.34394607779 25.3570003509521 161 107
"68" 3 0 -50.4166666666667 -24.75 293.017544163054 27.8229999542236 160 73
"69" 3 0 -43.5833333333333 -19.75 198.681238932183 28.8024997711182 325 15
"70" 1 0 -40.0833333333333 -18.75 186.434159896479 31.3179988861084 173 42
"71" 3 0 -41.0833333333333 -21.0833333333333 211.660202581322 31.8007507324219 174 32
"72" 2 0 -41.0833333333333 -18.25 183.720908594636 31.6187496185303 182 24
"73" 2 0 -54.0833333333333 -28.9166666666667 380.781291972434 29.2910003662109 177 133
"74" 1 0 -45.4166666666667 -19.75 224.235697005838 31.701000213623 288 11
"75" 2 0 -53.25 -27.25 406.244852951371 30.3215007781982 205 136
"76" 1 0 -43.25 -19.0833333333333 235.411494162441 29.9610004425049 298 12
"77" 2 0 -44.4166666666667 -19.5833333333333 201.043152684014 30.8684997558594 281 11
"78" 3 0 -39.25 -16.4166666666667 154.868287913773 29.7117500305176 150 87
"79" 2 0 -49.4166666666667 -26.75 315.42029142748 26.9347496032715 188 86
"80" 2 0 -48.4166666666667 -22.0833333333333 238.319404195888 30.1627502441406 236 21
"81" 1 0 -50.4166666666667 -29.5833333333333 315.914599602722 25.1625003814697 178 118
"82" 2 0 -45.75 -21.75 251.342477860598 30.4575004577637 286 26
"83" 1 0 -53.4166666666667 -27.9166666666667 373.517230245272 29.6520004272461 191 130
"84" 3 0 -47.9166666666667 -22.25 234.193513252507 28.5142498016357 250 26
"85" 3 0 -42.9166666666667 -20.75 239.16118590121 29.6389999389648 251 20
"86" 3 0 -47.9166666666667 -22.75 247.843224405243 29.4764995574951 230 26
"87" 2 0 -40.9166666666667 -20.25 208.041716709374 27.9120006561279 203 44
"88" 1 0 -48.75 -28.4166666666667 304.906885032914 28.398229598999 161 90
"89" 3 0 -45.4166666666667 -21.5833333333333 255.2386890172 30.0982494354248 278 20
"90" 3 0 -52.4166666666667 -26.5833333333333 334.662779349004 28.0587501525879 227 142
"91" 2 0 -42.4166666666667 -17.4166666666667 179.095925592889 29.3262500762939 220 6
"92" 2 0 -48.9166666666667 -23.4166666666667 247.466861863631 29.630500793457 187 33
"93" 3 0 -48.75 -22.0833333333333 235.890926385946 30.8225002288818 225 21
