"kappa";"spec_sens";"no_omission";"prevalence";"equal_sens_spec";"sensitivity";"AUC";"TSS";"algoritmo";"partition"
-1e-04;-1e-04;-1e-04;-1e-04;0.15374615;0.15374615;0.463320463320463;0;"BioClim";1
0.07973586;0.02778966;0.02781075;0.0194984;0.03368571;0.02839219;0.954285714285714;0.834285714285714;"glm";1
0.59764381;0.59764381;0.59764381;0.02063451;0.59764381;0.60856219;0.968253968253968;0.945945945945946;"maxent";1
0.1508;0.01636667;0.01636667;0.0196;0.01913333;0.01653333;0.94734693877551;0.84;"rf";1
0.03965756;0.03965756;-0.01130512;0.01965806;0.00532967;-0.01118599;0.776326530612245;0.705714285714286;"svm";1
0.28561429;0.28561429;-1e-04;-1e-04;0.14275714;0.14275714;0.638972055888224;0.318363273453094;"BioClim";2
0.21699012;0.0183105;0.0183105;0.01972343;0.01857067;0.01857067;0.941666666666667;0.84;"glm";2
0.98425068;0.55374767;0.55374767;0.01758894;0.55374767;0.55770715;0.988522954091816;0.955089820359281;"maxent";2
0.2725;0.01793333;0.01793333;0.0198;0.0198;0.0198;0.968888888888889;0.866666666666667;"rf";2
0.01946392;0.01946392;-0.01091911;0.01946392;0.00781648;-0.01080065;0.836111111111111;0.823333333333333;"svm";2
0.15374615;0.15374615;-1e-04;-1e-04;0.15374615;0.15374615;0.563492063492063;0.127842127842128;"BioClim";3
0.53076857;0.21881258;1.353e-05;0.0191653;0.00321127;1.816e-05;0.760408163265306;0.694285714285714;"glm";3
0.9134778;0.62820824;0.00015341;0.02019371;0.02245857;0.00015936;0.773916773916774;0.696267696267696;"maxent";3
0.35516667;0.11993333;-1e-04;0.01973333;0.00216667;3e-04;0.813265306122449;0.668571428571429;"rf";3
0.09762009;0.02748256;0.00159153;0.01884205;0.00376467;0.00163226;0.866938775510204;0.7;"svm";3
