"group.all" "pa" "lon" "lat" "X1Km_.eigenvariables.1" "X1Km_.eigenvariables.2" "X1Km_.eigenvariables.3" "X1Km_.eigenvariables.4" "X1Km_.eigenvariables.5" "X1Km_.eigenvariables.6" "X1Km_.eigenvariables.7" "X1Km_.eigenvariables.8" "X1Km_.eigenvariables.9" "X1Km_.eigenvariables.10"
"1" 2 1 -43.31 -17.08 12.4403050556567 -10.8023397130912 -13.7119330622107 1.50361605853966 -3.02360329374614 3.42633391615266 -2.30874690976466 10.0359913373108 2.93647757099919 2.40763579758559
"2" 3 1 -41.3125 -13.0625 12.6360444379256 -10.9495688407365 -11.4504177489427 2.96593324615364 -4.84709875103941 1.22578312832134 -0.586203749016795 10.072164759484 2.74790085965595 3.63708592825511
"3" 1 1 -41.316667 -12.883333 15.8581775813981 -13.0518573620644 -11.7445790624309 4.71466092952967 -3.81400436671129 4.05745995676185 -2.22336070914051 10.5688959342705 3.02828523757707 3.13292078829159
"4" 1 1 -41.316111 -12.961389 13.8040834218851 -11.7795769528347 -11.6379621169969 4.01716355816147 -4.24674168634347 0.99384229435487 0.0884779872969978 9.64573019475181 2.23365450206726 3.88722336346989
"6" 2 1 -41.349167 -12.988889 13.798738860755 -11.9167074316119 -11.9032751519489 3.5007914226833 -5.57741419975162 1.28844117825721 -0.815723870211345 10.1189420894604 3.10041762136307 3.26573169628083
"7" 3 1 -41.326667 -12.995278 13.0847599396258 -11.5378137464194 -11.5836664642031 3.24217975867019 -5.27109626966655 0.974123735190076 -0.541690246191507 9.81663924303325 3.34307101064945 3.64881835901475
"9" 3 1 -41.370278 -13.018611 13.6708536617395 -11.7237408758637 -11.7399623377756 4.31268498607029 -2.3726544303189 2.92553491950435 -0.779623471312119 9.51139466824277 3.84073981508058 4.21431252088051
"10" 1 1 -43.329444 -19.373333 14.8828598343115 -10.2207042869304 -14.9942724793295 3.76600103732555 -4.9624979524726 1.60396429320313 -1.11414080032816 8.6812528502733 1.34817268929544 1.90752192355001
"11" 3 1 -43.898056 -18.439444 12.7990429107065 -9.67667319710686 -14.6745591498767 1.63947418273233 -4.41832242116294 1.18438950130505 -0.737374010719219 9.02439533167258 1.63030629670336 2.38420804486315
"12" 1 1 -43.920278 -18.188611 14.4114811623959 -11.2412102814031 -14.5102898399206 4.08245169897662 -4.77503997338551 0.538673964735977 -0.235925786101902 7.94637628204057 4.07808623558961 2.70726299666641
"14" 2 1 -41.385 -12.995556 13.6707398894168 -11.6781801644462 -11.6272569638773 4.42390093734443 -2.82401257000967 2.08223209326268 -0.162812537544421 9.54248776370489 2.58243721545791 4.19047476393108
"15" 2 1 -41.7547222 -21.8113889 13.919578104589 -9.1473837870586 -12.4266773724478 3.24824264590265 -6.82882108563662 2.68254407863575 -2.87455569079144 9.97914366319031 1.0480200224221 0.988767730838092
"17" 1 1 -41.8286111 -13.5977777 13.4541727081052 -12.8392173830769 -11.7727362025952 3.12273650311969 -6.0627236129019 1.68622867359201 -1.36800395647544 10.6075143423846 2.43464760924264 2.97370518604645
"18" 2 1 -41.3422222 -12.9747223 13.3975530209055 -11.7838725425724 -11.7318396911417 3.59272224503014 -5.10635070874316 0.997362028063165 -0.366766432971251 9.65323484956467 3.2861788463186 3.84107342196304
"19" 3 1 -68.1380556 -9.7261111 21.3305399818704 -11.8355286512746 -13.9433466516288 7.53548154609584 -5.36538265923716 1.4738845335851 -0.375956719428319 9.38959452305984 4.82753758123384 1.91425306688524
"20" 2 1 -43.0088889 -16.9436111 14.7976605944412 -13.1312911274439 -13.20193765598 5.6111208728786 -2.19696632011256 2.51005173722382 -0.573970508125198 8.53529574928842 4.06838723843016 3.73865780023093
"21" 3 1 -55.8333333 -1.7 24.5505211566579 -11.621434423892 -12.0805736633181 6.10874611859099 -5.92763867468929 1.37593373742186 -1.15342801066616 7.36376251038612 3.7238652231942 3.4929292418807
"22" 3 1 -41.45 -12.45 14.2214246557081 -11.9882491028917 -11.0902179231399 4.76994082614418 -4.41931630123929 1.3176826890616 -0.0562409096195736 9.687740580646 1.93179036251585 4.05793481061692
"23" 1 1 -41.3538889 -12.9947222 14.4077823502485 -11.9989102162382 -11.85806212947 4.56791200745327 -3.24164569205219 2.13917814891061 -0.360619331787803 9.52738016173934 2.7397688973326 4.07879800677627
"24" 1 1 -41.8666667 -13.2833333 14.3904783937304 -12.1859971649936 -12.4985122964415 5.02918130898117 -3.639209365366 0.649212023429826 0.679898270978724 9.24803978556604 2.28056011041045 4.02692578532764
"1100" 1 0 -69.195559082 -5.608896484 24.0075286214299 -9.41499224836024 -13.6790375761215 7.39793689952396 -3.1550233543337 1.82824067658542 0.0233340707759886 9.28330362771324 2.98138651754505 2.66847143183129
"2100" 2 0 -44.305559082 -14.588896484 16.5201970758547 -14.9569900938103 -12.9450877341573 6.27393332936882 -5.08565505998857 1.0679125596897 -0.185966132470303 8.71454483681402 2.60277982806408 3.89066441888034
"3100" 2 0 -70.555559082 -5.288896484 23.3016843777055 -9.12092725531209 -12.9800158638825 7.40633062996698 -4.76805269383834 1.65762016495105 0.434642136062857 10.3748490855321 2.10624542013277 3.33209638155354
"4100" 3 0 -69.625559082 -10.238896484 20.0346448538013 -12.3361991283572 -13.5667596191278 7.41693917077609 -5.45576190701198 1.04758210600736 -0.0496854609683959 8.87250469460132 3.4506232999354 2.52493136276325
